tag,value,count
building,yes,142
building,dormitory,15
building,school,11
building,industrial,10
building,university,5
building,construction,5
building,residential,3
building,retail,3
building,warehouse,2
building,roof,2
building,service,1
building,guardhouse,1
landuse,grass,19
landuse,commercial,12
landuse,industrial,5
landuse,forest,3
landuse,religious,2
landuse,recreation_ground,2
landuse,cemetery,1
landuse,military,1
landuse,retail,1
landuse,construction,1
landuse,education,1
landuse,residential,1
natural,water,35
natural,tree,20
natural,wood,3
water,lake,6
water,pond,2
waterway,canal,23
waterway,river,2
waterway,stream,1
railway,proposed,1
amenity,school,11
amenity,restaurant,5
amenity,cafe,5
amenity,fuel,4
amenity,research_institute,4
amenity,parking,4
amenity,place_of_worship,3
amenity,university,3
amenity,library,2
amenity,charging_station,2
amenity,fast_food,2
amenity,kindergarten,2
amenity,post_office,1
amenity,pharmacy,1
amenity,atm,1
amenity,motorcycle_parking,1
amenity,driver_training,1
amenity,police,1
man_made,works,4
man_made,bridge,4
man_made,wastewater_plant,1
man_made,water_works,1
leisure,pitch,19
leisure,garden,4
leisure,park,2
leisure,swimming_pool,1
leisure,sports_centre,1
barrier,gate,10
barrier,lift_gate,5
barrier,toll_booth,2
barrier,sliding_gate,1
barrier,block,1
barrier,bollard,1
barrier,wall,1
