metric,value
n_buildings,22599.0
height_m_mean,5.266494092658967
height_m_median,4.5
height_m_min,3.0
height_m_max,69.0
area_m2_sum,1918665.7006938264
source_Google,21597.0
source_Microsoft,893.0
source_OSM,109.0
occupancy_UNK,19336.0
occupancy_IND,2720.0
occupancy_EDU3,225.0
occupancy_MIX5,173.0
occupancy_EDU2,108.0
occupancy_ASS1,13.0
occupancy_COM11,13.0
occupancy_COM1,2.0
occupancy_COM5,2.0
occupancy_RES,2.0
occupancy_GOV1,1.0
occupancy_EDU4,1.0
occupancy_MIX1,1.0
occupancy_COM4,1.0
occupancy_COM3,1.0
